scene,view,lpips,psnr,ssim,avg_sigma,u_hist
Lego,5,0.1597301513,22.47675705,0.8656181693,0.072349,"[0.0006523248739540577, 0.026089487597346306, 0.24862346053123474, 0.22257955372333527, 0.2611193358898163, 0.04179087653756142, 0.024521803483366966, 0.008259274996817112, 0.006817847024649382, 0.005951587576419115, 0.15359444916248322]"
Lego,10,0.1718873531,21.54839706,0.8518110514,0.079856,"[0.0007123775430954993, 0.0020669742953032255, 0.0186027679592371, 0.18833212554454803, 0.349286288022995, 0.21998974680900574, 0.10015920549631119, 0.0071183787658810616, 0.003901886288076639, 0.0029142717830836773, 0.10691599547863007]"
Lego,15,0.1561225802,22.12833023,0.8628602624,0.072974,"[0.000178204252733849, 0.0009047292405739427, 0.020977837964892387, 0.2518163025379181, 0.34716928005218506, 0.1947818100452423, 0.058016907423734665, 0.008380169048905373, 0.0050719669088721275, 0.0035823623184114695, 0.10912039875984192]"
Lego,22,0.1530902386,22.51799011,0.8664336801,0.066476,"[0.00041671007056720555, 0.0053838943131268024, 0.12439629435539246, 0.3176831007003784, 0.22644859552383423, 0.18304823338985443, 0.016726741567254066, 0.009130117483437061, 0.006192311644554138, 0.004187936428934336, 0.10638608038425446]"
Lego,23,0.1640804708,22.22924995,0.86304456,0.067764,"[0.0014277646550908685, 0.004502032417804003, 0.151963472366333, 0.30659157037734985, 0.22296196222305298, 0.13773752748966217, 0.010105710476636887, 0.0076399329118430614, 0.008856913074851036, 0.010026169009506702, 0.13818693161010742]"
Lego,31,0.1600968838,22.81086349,0.8618268967,0.09055,"[0.6498777866363525, 0.06150054559111595, 0.0357348695397377, 0.030074531212449074, 0.02821424975991249, 0.023185929283499718, 0.019652191549539566, 0.017748186364769936, 0.013876577839255333, 0.011499552987515926, 0.10863559693098068]"
Lego,38,0.1571873426,22.43910789,0.8624328375,0.07393,"[0.0005082556745037436, 0.0012356673832982779, 0.010239719413220882, 0.26409244537353516, 0.36422812938690186, 0.15544229745864868, 0.06826479732990265, 0.007110916078090668, 0.0047188508324325085, 0.004033404868096113, 0.12012552469968796]"
Lego,41,0.1509300917,22.8294239,0.8660107255,0.099929,"[0.00014613552775699645, 0.000654903647955507, 0.007528685964643955, 0.40756115317344666, 0.2713087201118469, 0.11295735090970993, 0.01221584714949131, 0.006484087556600571, 0.0048224725760519505, 0.003675037994980812, 0.17264559864997864]"
Lego,47,0.167591393,22.13664436,0.8513912559,0.066557,"[0.5591768026351929, 0.1015312448143959, 0.07693733274936676, 0.06276871263980865, 0.0438305027782917, 0.03271803259849548, 0.0277133546769619, 0.02056575007736683, 0.016411008313298225, 0.014014909975230694, 0.04433232545852661]"
Lego,49,0.1544631869,22.61598015,0.8605239391,0.10122,"[0.6698319911956787, 0.04104465991258621, 0.0357099324464798, 0.03792461007833481, 0.028136154636740685, 0.029835466295480728, 0.03515278175473213, 0.019166013225913048, 0.057135891169309616, 0.012657786719501019, 0.033404719084501266]"
Lego,53,0.177750051,21.169487,0.8416600823,0.068071,"[0.00016726343892514706, 0.0014062519185245037, 0.008579995483160019, 0.19110777974128723, 0.2885913848876953, 0.29660764336586, 0.12623433768749237, 0.013957205228507519, 0.003394828410819173, 0.001678829430602491, 0.06827446073293686]"
Lego,54,0.1664189845,22.07707214,0.8573628068,0.065665,"[0.0002055369841400534, 0.0017381280194967985, 0.05151382461190224, 0.29234954714775085, 0.27839985489845276, 0.24217171967029572, 0.018408965319395065, 0.006621865555644035, 0.004669263958930969, 0.0030607138760387897, 0.10086057335138321]"
Lego,70,0.1656386107,21.76130867,0.853441298,0.083451,"[0.00022613089822698385, 0.0015730845043435693, 0.008066973648965359, 0.19014659523963928, 0.244265615940094, 0.3563331365585327, 0.03379673883318901, 0.004832318983972073, 0.0031510849948972464, 0.0025710100308060646, 0.1550373136997223]"
Lego,79,0.1622681767,22.5505619,0.8595993519,0.056742,"[0.3603510856628418, 0.28530845046043396, 0.07982982695102692, 0.05456382408738136, 0.04103177413344383, 0.03105420246720314, 0.024765506386756897, 0.021864457055926323, 0.019246097654104233, 0.017772402614355087, 0.0642123594880104]"
Lego,89,0.1674317122,21.79432487,0.8510430455,0.109235,"[0.009660759940743446, 0.552788496017456, 0.17354565858840942, 0.014101368375122547, 0.015377405099570751, 0.015303162857890129, 0.016755525022745132, 0.016648802906274796, 0.0158553384244442, 0.014166329987347126, 0.15579715371131897]"
